Time_ms,Timestamp_UTC,Event,Asset_ID,Bid,Ask,Trade_Price,Trade_Side
20.783,2025-12-03 09:22:48.530326,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.72,N/A,N/A
22.983,2025-12-03 09:22:48.553297,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.28,0.29,N/A,N/A
674.929,2025-12-03 09:22:49.184461,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.72,BUY
686.235,2025-12-03 09:22:49.239534,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.26,0.29,N/A,N/A
0.222,2025-12-03 09:22:49.239746,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.74,N/A,N/A
101.887,2025-12-03 09:22:49.286355,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
53.425,2025-12-03 09:22:49.293176,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.73,N/A,N/A
30.898,2025-12-03 09:22:49.324077,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.27,0.29,N/A,N/A
178.141,2025-12-03 09:22:49.464488,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.71,SELL
878.491,2025-12-03 09:22:50.342984,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.29,BUY
480.227,2025-12-03 09:22:50.823208,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
1418.920,2025-12-03 09:22:52.242128,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.29,BUY
3010.515,2025-12-03 09:22:52.334598,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.28,0.29,N/A,N/A
4.275,2025-12-03 09:22:52.338863,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.72,N/A,N/A
195.086,2025-12-03 09:22:52.437212,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.71,SELL
370.753,2025-12-03 09:22:52.807965,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.72,BUY
574.018,2025-12-03 09:22:52.912891,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.27,0.29,N/A,N/A
0.215,2025-12-03 09:22:52.913091,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.73,N/A,N/A
139.484,2025-12-03 09:22:52.947446,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
859.419,2025-12-03 09:22:53.806869,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
1628.618,2025-12-03 09:22:54.541718,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.28,0.29,N/A,N/A
2.212,2025-12-03 09:22:54.543922,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.72,N/A,N/A
1385.220,2025-12-03 09:22:55.192088,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.71,SELL
1097.336,2025-12-03 09:22:55.641266,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.27,0.29,N/A,N/A
7.510,2025-12-03 09:22:55.648769,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.71,0.73,N/A,N/A
50.817,2025-12-03 09:22:55.699592,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.72,0.73,N/A,N/A
1104.108,2025-12-03 09:22:56.296201,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
43.921,2025-12-03 09:22:56.340116,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
8.239,2025-12-03 09:22:56.348351,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
4.266,2025-12-03 09:22:56.352614,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
2.887,2025-12-03 09:22:56.355500,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
0.274,2025-12-03 09:22:56.355773,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
4.495,2025-12-03 09:22:56.360269,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.73,BUY
34.957,2025-12-03 09:23:39.524828,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.66,BUY
89.272,2025-12-03 09:23:39.579132,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.66,N/A,N/A
83.699,2025-12-03 09:23:39.608506,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.34,SELL
162.822,2025-12-03 09:23:39.771334,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.66,BUY
243.166,2025-12-03 09:23:39.822299,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.34,0.35,N/A,N/A
2001.441,2025-12-03 09:23:41.823742,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.64,0.65,N/A,N/A
0.111,2025-12-03 09:23:41.823836,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.35,0.36,N/A,N/A
2082.547,2025-12-03 09:23:41.853877,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.65,SELL
283.113,2025-12-03 09:23:42.106965,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.64,0.67,N/A,N/A
50.680,2025-12-03 09:23:42.157644,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.36,N/A,N/A
230.788,2025-12-03 09:23:42.388434,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.35,N/A,N/A
69.045,2025-12-03 09:23:42.457473,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.67,N/A,N/A
139.368,2025-12-03 09:23:42.596848,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.34,0.35,N/A,N/A
319.705,2025-12-03 09:23:42.916551,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.66,N/A,N/A
37.657,2025-12-03 09:23:42.954201,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.35,N/A,N/A
29.952,2025-12-03 09:23:42.984158,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.67,N/A,N/A
1259.232,2025-12-03 09:23:43.113110,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.35,BUY
1030.730,2025-12-03 09:23:44.014884,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.34,0.35,N/A,N/A
117.934,2025-12-03 09:23:44.132822,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.66,N/A,N/A
1197.443,2025-12-03 09:23:44.310555,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.35,BUY
356.575,2025-12-03 09:23:44.489403,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.35,N/A,N/A
99.995,2025-12-03 09:23:44.589403,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.67,N/A,N/A
1521.925,2025-12-03 09:23:45.832480,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.35,BUY
171.546,2025-12-03 09:23:46.004024,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.65,SELL
7.344,2025-12-03 09:23:46.011364,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.65,SELL
11.913,2025-12-03 09:23:46.023277,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.65,SELL
5.352,2025-12-03 09:23:46.028680,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.65,SELL
6.265,2025-12-03 09:23:46.034891,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.65,SELL
1694.695,2025-12-03 09:23:47.729593,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,BUY
870.862,2025-12-03 09:23:48.600455,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.35,BUY
4019.989,2025-12-03 09:23:48.609376,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.36,N/A,N/A
25.411,2025-12-03 09:23:48.625862,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,BUY
101.593,2025-12-03 09:23:48.710977,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.35,N/A,N/A
204.734,2025-12-03 09:23:48.830600,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.35,BUY
202.993,2025-12-03 09:23:48.913968,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.36,N/A,N/A
89.800,2025-12-03 09:23:48.920393,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,BUY
91.300,2025-12-03 09:23:49.005271,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.64,0.67,N/A,N/A
12.146,2025-12-03 09:23:49.017406,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.65,0.67,N/A,N/A
15.561,2025-12-03 09:23:49.032969,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.33,0.35,N/A,N/A
482.635,2025-12-03 09:23:49.403036,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.35,BUY
862.695,2025-12-03 09:23:49.895670,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.66,0.67,N/A,N/A
1056.677,2025-12-03 09:23:50.459717,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.66,SELL
293.948,2025-12-03 09:23:50.753660,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,BUY
326.608,2025-12-03 09:23:51.080269,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.66,SELL
1529.508,2025-12-03 09:23:52.609778,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.33,SELL
246.225,2025-12-03 09:23:52.856001,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,BUY
3079.955,2025-12-03 09:23:52.975622,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.32,0.34,N/A,N/A
3.019,2025-12-03 09:23:52.978633,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.66,0.68,N/A,N/A
69.238,2025-12-03 09:23:53.047878,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.67,0.68,N/A,N/A
3.139,2025-12-03 09:23:53.051008,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.32,0.33,N/A,N/A
203.034,2025-12-03 09:23:53.059027,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.32,SELL
17.784,2025-12-03 09:23:53.076813,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.32,SELL
198.268,2025-12-03 09:23:53.275087,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.32,SELL
165.880,2025-12-03 09:23:53.440967,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.33,BUY
314.049,2025-12-03 09:23:53.755020,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.68,BUY
360.361,2025-12-03 09:23:54.115380,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
0.818,2025-12-03 09:23:54.116189,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
6.801,2025-12-03 09:23:54.122991,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
2.514,2025-12-03 09:23:54.125504,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
0.952,2025-12-03 09:23:54.126454,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
2.151,2025-12-03 09:23:54.128606,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
3.114,2025-12-03 09:23:54.131721,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
162.455,2025-12-03 09:23:54.294183,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.32,SELL
68.752,2025-12-03 09:23:54.362934,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.68,BUY
1325.336,2025-12-03 09:23:54.376350,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.68,0.69,N/A,N/A
0.137,2025-12-03 09:23:54.376480,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.32,N/A,N/A
20.539,2025-12-03 09:23:54.383467,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.68,BUY
12.754,2025-12-03 09:23:54.396220,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.32,SELL
3.981,2025-12-03 09:23:54.400201,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.68,BUY
189.836,2025-12-03 09:23:54.590045,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.31,SELL
352.329,2025-12-03 09:23:54.942373,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.69,BUY
571.730,2025-12-03 09:23:54.948213,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.67,0.69,N/A,N/A
0.109,2025-12-03 09:23:54.948320,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.33,N/A,N/A
38.930,2025-12-03 09:23:54.987260,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.68,0.69,N/A,N/A
14.227,2025-12-03 09:23:55.001479,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.32,N/A,N/A
83.006,2025-12-03 09:23:55.025374,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.32,BUY
35.803,2025-12-03 09:23:55.037283,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.67,0.69,N/A,N/A
28.969,2025-12-03 09:23:55.066251,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.33,N/A,N/A
286.407,2025-12-03 09:23:55.352665,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.32,0.33,N/A,N/A
465.249,2025-12-03 09:23:55.817912,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.33,N/A,N/A
902.812,2025-12-03 09:23:55.928192,last_trade_price,104847493482681394039490230886226316127712574809887359959075235909796533321336,N/A,N/A,0.33,BUY
12.497,2025-12-03 09:23:55.940684,last_trade_price,103262444251711882137196701351143742111166718788614018342840531449333300820992,N/A,N/A,0.67,SELL
129.106,2025-12-03 09:23:55.947086,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.32,N/A,N/A
9.320,2025-12-03 09:23:55.956337,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.68,0.69,N/A,N/A
72.459,2025-12-03 09:23:56.028805,price_change,103262444251711882137196701351143742111166718788614018342840531449333300820992,0.67,0.69,N/A,N/A
157.545,2025-12-03 09:23:56.186375,price_change,104847493482681394039490230886226316127712574809887359959075235909796533321336,0.31,0.33,N/A,N/A
